universe,code,name,score,stage,strong_reason,pullback_quality,current_close,ma60,slope20_pct,distance_pct,distance_change_3d,pullback_from_high_pct,cross_date,last_cross_date,days_since_cross,held3,turnover_ratio,weekly_return_pct,foreign_week_eok,institution_week_eok,foreign_recent2_eok,institution_recent2_eok,foreign_week_value,institution_week_value,foreign_recent2_value,institution_recent2_value
KOSDAQ150,319400,현대무벡스,103.1,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,22850.0,22703.67,-15.83,0.64,6.16,0.0,2026-09-18,2026-09-18,0,N,1.85,10.39,776.8,8.0,750.5,12.3,77682065250,795776350,75047264225,1233302000
KOSDAQ150,056080,유진로봇,100.8,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,12640.0,12464.83,-15.86,1.41,4.49,0.0,2026-09-18,2026-09-18,0,N,1.62,5.95,62.5,20.8,63.6,33.2,6250529590,2078212125,6363620605,3317888335
KOSPI200,079550,LIG디펜스앤에어로스페이스,95.1,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,737000.0,725116.67,-5.31,1.64,10.15,0.0,2026-09-18,2026-09-18,0,N,1.07,5.44,389.8,221.7,412.1,136.5,38978173000,22166440500,41212540000,13648430500
KOSDAQ150,074600,원익QnC,94.3,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,28150.0,28082.5,-9.76,0.24,7.26,0.0,2026-09-18,2026-09-18,0,N,0.96,10.83,13.9,-0.3,8.8,-2.0,1394621400,-34650325,877203775,-195771975
KOSDAQ150,189300,인텔리안테크,91.6,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,68600.0,66735.83,-17.99,2.79,8.27,-1.15,2026-09-17,2026-09-17,1,N,1.39,9.76,-35.4,11.3,-19.3,5.8,-3536616400,1130026100,-1925779850,581993550
KOSPI200,010120,LS ELECTRIC,90.5,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,208500.0,202118.33,-5.9,3.16,6.57,-1.42,2026-09-17,2026-09-17,1,N,0.89,5.57,269.1,63.4,567.4,68.2,26908361000,6337976450,56740382150,6818895050
KOSDAQ150,050890,쏠리드,90.4,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,9740.0,9436.67,-13.74,3.21,11.01,0.0,2026-09-18,2026-09-18,0,N,2.54,13.12,-114.2,8.6,-6.0,3.1,-11419165665,856126230,-600853590,312113710
KOSDAQ150,166090,하나머티리얼즈,89.7,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,55400.0,54443.33,-7.6,1.76,5.76,0.0,2026-09-18,2026-09-18,0,N,0.6,10.58,-16.9,58.0,-15.2,25.5,-1687353600,5800153600,-1517070950,2554246650
KOSDAQ150,388720,유일로보틱스,88.5,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,69700.0,67130.0,-8.53,3.83,0.15,-2.24,2026-09-15,2026-09-15,3,Y,0.83,6.09,14.5,2.5,4.0,-0.4,1453543450,249833550,399139750,-42140900
KOSPI200,000660,SK하이닉스,87.5,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,1849000.0,1833816.67,-10.25,0.83,9.69,-0.38,2026-09-18,2026-09-18,0,N,1.01,9.86,-34236.7,-475.7,1112.2,2007.6,-3423672689000,-47574677500,111218712000,200759413500
KOSDAQ150,131970,두산테스나,85.3,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,86300.0,83585.0,-20.47,3.25,15.31,-3.14,2026-09-18,2026-09-18,0,N,1.14,5.89,-70.8,27.5,13.7,69.4,-7079880750,2753531700,1368682450,6943236450
KOSPI200,006260,LS,84.6,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,324000.0,313116.67,-10.22,3.48,6.8,-1.82,2026-09-18,2026-09-18,0,N,0.82,5.19,-87.1,77.3,-53.1,53.1,-8710133250,7731531250,-5307497000,5310554250
KOSDAQ150,240810,원익IPS,83.9,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,121500.0,115295.0,-6.4,5.38,11.27,0.0,2026-09-16,2026-09-16,2,Y,0.99,10.96,393.4,10.7,85.4,12.9,39336974050,1065082850,8541851650,1285984300
KOSDAQ150,099320,쎄트렉아이,83.7,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,78900.0,76040.0,-16.18,3.76,9.42,-0.13,2026-09-17,2026-09-17,1,N,1.39,11.76,-14.2,-0.9,-21.0,1.9,-1424352000,-87544550,-2100598300,190889100
KOSDAQ150,067310,하나마이크론,82.8,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,38550.0,36455.83,-8.83,5.74,14.13,0.0,2026-09-17,2026-09-17,1,N,1.05,17.35,190.1,38.6,110.0,79.3,19010654475,3855438525,10996617425,7932631875
KOSDAQ150,033100,제룡전기,82.0,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,48000.0,46010.83,-4.93,4.32,4.8,0.0,2026-09-16,2026-09-16,2,Y,0.82,6.08,28.6,-5.5,20.2,-5.1,2856880550,-549939800,2020214525,-510789475
KOSDAQ150,060370,LS마린솔루션,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,33650.0,29691.67,1.93,13.33,2.66,0.0,,,,Y,1.75,6.49,38.5,1.7,48.3,-4.1,3848102075,172847150,4832678725,-408911450
KOSDAQ150,121600,나노신소재,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,53200.0,46656.67,-6.82,14.02,4.16,0.0,,,,Y,1.46,10.72,3.8,46.3,-17.4,38.5,375451850,4632539025,-1738752500,3854124300
KOSPI200,443060,HD현대마린솔루션,80,강한 돌파 추세,주간수익률·60일선 이격·거래대금/수급 확인,,244000.0,207576.67,-1.47,17.55,4.51,-1.21,,,,Y,1.21,4.27,34.1,3.3,17.5,15.1,3407693250,333812000,1748290750,1511905250
